survey_ID,personal_id,region_id,sex,age,proficiency_in_literacy,proficiency_in_numeracy,employment_status,below_poverty_line,average_time_spent_on_unpaid_domestic_work,survey_year
129,129,SSD001,male,22,TRUE,FALSE,employed,FALSE,8,2019
130,130,SSD001,male,32,FALSE,FALSE,employed,FALSE,10,2019
131,131,SSD001,prefer not to say,62,TRUE,TRUE,employed,FALSE,13,2019
132,132,SSD001,male,38,TRUE,TRUE,unemployed,TRUE,11,2019
133,133,SSD001,male,55,FALSE,FALSE,employed,FALSE,13,2019
134,134,SSD001,male,57,TRUE,TRUE,employed,TRUE,8,2019
135,135,SSD001,female,72,FALSE,FALSE,unemployed,TRUE,39,2019
136,136,SSD001,female,63,TRUE,FALSE,employed,TRUE,39,2019
137,137,SSD001,female,24,FALSE,FALSE,unemployed,TRUE,36,2019
138,138,SSD001,female,28,TRUE,TRUE,employed,FALSE,31,2019
139,139,SSD001,male,66,FALSE,FALSE,unemployed,FALSE,8,2019
140,140,SSD001,male,52,TRUE,TRUE,employed,FALSE,10,2019
141,141,SSD001,female,48,TRUE,TRUE,employed,FALSE,38,2019
142,142,SSD001,female,69,TRUE,TRUE,employed,FALSE,35,2019
143,143,SSD001,male,23,TRUE,FALSE,employed,FALSE,8,2019
144,144,SSD001,male,36,FALSE,FALSE,employed,FALSE,10,2019
145,145,SSD001,male,14,FALSE,TRUE,below_minimum_legal_work_age,FALSE,11,2019
146,146,SSD001,female,53,TRUE,TRUE,unemployed,TRUE,36,2019
147,147,SSD001,female,64,TRUE,TRUE,employed,FALSE,38,2019
148,148,SSD001,female,75,TRUE,TRUE,employed,TRUE,36,2019
149,149,SSD001,female,49,TRUE,TRUE,unemployed,FALSE,40,2019
150,150,SSD001,male,35,FALSE,FALSE,employed,FALSE,10,2019
151,151,SSD001,male,66,TRUE,FALSE,employed,TRUE,13,2019
152,152,SSD001,male,59,FALSE,TRUE,employed,TRUE,11,2019
153,153,SSD001,female,38,FALSE,TRUE,employed,FALSE,33,2019
154,154,SSD001,female,37,TRUE,TRUE,employed,FALSE,35,2019
155,155,SSD001,male,38,TRUE,TRUE,employed,FALSE,13,2019
156,156,SSD001,female,74,TRUE,FALSE,unemployed,FALSE,32,2019
157,157,SSD001,male,50,TRUE,TRUE,employed,FALSE,10,2019
158,158,SSD001,female,59,TRUE,FALSE,unemployed,FALSE,30,2019
159,159,SSD001,male,26,TRUE,TRUE,employed,TRUE,8,2019
160,160,SSD001,male,57,FALSE,FALSE,unemployed,TRUE,9,2019
161,161,SSD001,male,44,TRUE,TRUE,unemployed,TRUE,10,2019
162,162,SSD001,female,63,FALSE,TRUE,employed,FALSE,36,2019
163,163,SSD001,female,32,FALSE,TRUE,employed,FALSE,35,2019
164,164,SSD001,male,23,TRUE,TRUE,employed,FALSE,10,2019
165,165,SSD001,female,42,FALSE,TRUE,employed,TRUE,32,2019
166,166,SSD001,male,79,FALSE,FALSE,employed,TRUE,11,2019
167,167,SSD001,female,20,TRUE,TRUE,unemployed,FALSE,35,2019
168,168,SSD001,female,29,TRUE,TRUE,unemployed,TRUE,31,2019
169,169,SSD001,female,50,FALSE,TRUE,employed,TRUE,39,2019
170,170,SSD001,female,69,FALSE,TRUE,employed,FALSE,30,2019
171,171,SSD001,male,25,TRUE,TRUE,unemployed,TRUE,9,2019
172,172,SSD001,female,52,TRUE,FALSE,employed,FALSE,38,2019
173,173,SSD001,female,40,TRUE,FALSE,unemployed,FALSE,36,2019
174,174,SSD001,prefer not to say,80,FALSE,TRUE,unemployed,TRUE,8,2019
175,175,SSD001,male,38,TRUE,FALSE,employed,TRUE,11,2019
176,176,SSD001,female,76,TRUE,FALSE,employed,FALSE,35,2019
177,177,SSD001,female,40,TRUE,FALSE,employed,TRUE,33,2019
178,178,SSD001,male,59,TRUE,FALSE,employed,FALSE,12,2019
179,179,SSD001,male,29,TRUE,TRUE,unemployed,FALSE,12,2019
180,180,SSD001,male,20,TRUE,TRUE,employed,TRUE,10,2019
181,181,SSD001,female,32,TRUE,FALSE,employed,FALSE,30,2019
182,182,SSD001,female,60,FALSE,TRUE,unemployed,FALSE,38,2019
183,183,SSD001,male,55,FALSE,TRUE,employed,TRUE,12,2019
184,184,SSD001,female,27,FALSE,FALSE,employed,TRUE,35,2019
185,185,SSD001,male,80,FALSE,FALSE,employed,FALSE,10,2019
186,186,SSD001,male,50,TRUE,FALSE,unemployed,FALSE,12,2019
187,187,SSD001,female,38,TRUE,TRUE,unemployed,TRUE,31,2019
188,188,SSD001,male,32,TRUE,FALSE,employed,FALSE,8,2019
189,189,SSD001,female,70,TRUE,FALSE,unemployed,TRUE,37,2019
190,190,SSD001,male,68,TRUE,FALSE,employed,TRUE,8,2019
191,191,SSD001,male,26,TRUE,FALSE,employed,FALSE,10,2019
192,192,SSD001,male,55,FALSE,FALSE,unemployed,TRUE,12,2019
193,193,SSD001,male,25,FALSE,TRUE,employed,FALSE,10,2019
194,194,SSD001,male,57,TRUE,FALSE,employed,FALSE,8,2019
195,195,SSD001,female,35,FALSE,FALSE,employed,FALSE,39,2019
196,196,SSD001,male,79,TRUE,TRUE,employed,FALSE,8,2019
197,197,SSD001,male,48,TRUE,TRUE,employed,TRUE,13,2019
198,198,SSD001,male,37,TRUE,FALSE,unemployed,FALSE,10,2019
199,199,SSD001,male,70,TRUE,TRUE,employed,FALSE,9,2019
200,200,SSD001,female,16,TRUE,TRUE,below_minimum_legal_work_age,FALSE,35,2019
201,201,SSD002,male,43,TRUE,FALSE,unemployed,FALSE,9,2019
202,202,SSD002,male,26,FALSE,FALSE,employed,TRUE,11,2019
203,203,SSD002,male,15,FALSE,TRUE,below_minimum_legal_work_age,TRUE,8,2019
204,204,SSD002,female,48,TRUE,FALSE,employed,FALSE,33,2019
205,205,SSD002,female,26,TRUE,FALSE,unemployed,TRUE,40,2019
206,206,SSD002,female,75,FALSE,FALSE,employed,TRUE,35,2019
207,207,SSD002,male,62,TRUE,TRUE,employed,TRUE,8,2019
208,208,SSD002,male,61,TRUE,FALSE,employed,TRUE,8,2019
209,209,SSD002,female,55,FALSE,TRUE,employed,FALSE,40,2019
210,210,SSD002,male,29,FALSE,TRUE,employed,TRUE,12,2019
211,211,SSD002,female,66,FALSE,FALSE,employed,FALSE,32,2019
212,212,SSD002,female,49,FALSE,FALSE,unemployed,TRUE,40,2019
213,213,SSD002,male,26,TRUE,FALSE,unemployed,FALSE,9,2019
214,214,SSD002,male,73,FALSE,TRUE,unemployed,TRUE,13,2019
215,215,SSD002,male,19,TRUE,TRUE,employed,FALSE,12,2019
216,216,SSD002,female,60,TRUE,FALSE,employed,FALSE,34,2019
217,217,SSD002,male,22,TRUE,TRUE,employed,TRUE,13,2019
218,218,SSD002,male,14,TRUE,FALSE,below_minimum_legal_work_age,FALSE,10,2019
219,219,SSD002,female,51,TRUE,TRUE,employed,FALSE,40,2019
220,220,SSD002,female,61,TRUE,TRUE,unemployed,FALSE,33,2019
221,221,SSD002,prefer not to say,31,TRUE,TRUE,unemployed,FALSE,32,2019
222,222,SSD002,female,73,FALSE,TRUE,employed,FALSE,34,2019
223,223,SSD002,female,41,TRUE,FALSE,employed,FALSE,35,2019
224,224,SSD002,male,40,TRUE,TRUE,unemployed,TRUE,9,2019
225,225,SSD002,female,49,FALSE,FALSE,unemployed,FALSE,30,2019
226,226,SSD002,female,35,TRUE,TRUE,employed,FALSE,34,2019
227,227,SSD002,female,70,TRUE,TRUE,employed,FALSE,40,2019
228,228,SSD002,male,50,TRUE,TRUE,employed,FALSE,9,2019
229,229,SSD002,female,54,TRUE,FALSE,unemployed,FALSE,39,2019
230,230,SSD002,female,53,FALSE,FALSE,employed,FALSE,34,2019
231,231,SSD002,female,33,FALSE,TRUE,employed,TRUE,38,2019
232,232,SSD002,male,33,FALSE,FALSE,employed,FALSE,10,2019
233,233,SSD002,female,49,FALSE,TRUE,employed,TRUE,37,2019
234,234,SSD002,female,52,TRUE,TRUE,unemployed,TRUE,35,2019
235,235,SSD002,female,66,TRUE,TRUE,employed,TRUE,32,2019
236,236,SSD002,female,19,TRUE,FALSE,unemployed,TRUE,40,2019
237,237,SSD002,prefer not to say,32,TRUE,FALSE,employed,FALSE,33,2019
238,238,SSD002,female,17,FALSE,FALSE,below_minimum_legal_work_age,FALSE,35,2019
239,239,SSD002,male,77,FALSE,FALSE,employed,FALSE,10,2019
240,240,SSD002,female,56,TRUE,FALSE,employed,TRUE,30,2019
241,241,SSD002,male,31,TRUE,TRUE,unemployed,FALSE,10,2019
242,242,SSD002,female,32,FALSE,TRUE,employed,TRUE,32,2019
243,243,SSD002,male,62,TRUE,FALSE,unemployed,FALSE,11,2019
244,244,SSD002,female,22,TRUE,TRUE,unemployed,FALSE,35,2019
245,245,SSD002,male,71,TRUE,TRUE,employed,TRUE,8,2019
246,246,SSD002,female,74,TRUE,FALSE,employed,TRUE,37,2019
247,247,SSD002,female,75,FALSE,TRUE,employed,FALSE,32,2019
248,248,SSD002,female,65,TRUE,TRUE,employed,FALSE,39,2019
249,249,SSD002,male,55,TRUE,TRUE,unemployed,TRUE,10,2019
250,250,SSD002,male,32,TRUE,TRUE,employed,FALSE,12,2019
251,251,SSD002,female,58,FALSE,TRUE,employed,TRUE,32,2019
252,252,SSD002,female,55,TRUE,FALSE,employed,FALSE,36,2019
253,253,SSD002,female,61,TRUE,FALSE,employed,FALSE,38,2019
254,254,SSD002,male,15,FALSE,TRUE,below_minimum_legal_work_age,TRUE,11,2019
255,255,SSD002,female,58,FALSE,FALSE,employed,FALSE,35,2019
256,256,SSD002,male,14,TRUE,FALSE,below_minimum_legal_work_age,FALSE,12,2019
257,257,SSD002,male,33,TRUE,FALSE,employed,FALSE,9,2019
258,258,SSD002,male,16,TRUE,TRUE,below_minimum_legal_work_age,FALSE,12,2019
259,259,SSD002,male,59,TRUE,TRUE,employed,FALSE,10,2019
260,260,SSD002,female,16,FALSE,FALSE,below_minimum_legal_work_age,FALSE,32,2019
261,261,SSD002,female,67,TRUE,FALSE,employed,FALSE,33,2019
262,262,SSD002,male,37,TRUE,TRUE,employed,FALSE,12,2019
263,263,SSD002,female,21,TRUE,FALSE,unemployed,FALSE,36,2019
264,264,SSD002,male,37,TRUE,FALSE,employed,FALSE,9,2019
265,265,SSD002,female,66,FALSE,FALSE,employed,TRUE,38,2019
266,266,SSD002,male,79,FALSE,TRUE,unemployed,FALSE,8,2019
267,267,SSD002,female,18,TRUE,TRUE,employed,TRUE,40,2019
268,268,SSD002,male,35,TRUE,TRUE,unemployed,TRUE,10,2019
269,269,SSD002,male,31,FALSE,FALSE,employed,TRUE,11,2019
270,270,SSD002,female,16,FALSE,FALSE,below_minimum_legal_work_age,TRUE,31,2019
271,271,SSD002,male,79,TRUE,TRUE,employed,FALSE,9,2019
272,272,SSD002,female,57,TRUE,TRUE,employed,TRUE,30,2019
273,273,SSD002,male,48,TRUE,FALSE,employed,TRUE,11,2019
274,274,SSD002,female,73,TRUE,FALSE,employed,TRUE,35,2019
275,275,SSD002,male,72,FALSE,TRUE,employed,FALSE,13,2019
276,276,SSD002,male,61,TRUE,TRUE,employed,TRUE,10,2019
277,277,SSD002,female,38,FALSE,TRUE,employed,TRUE,35,2019
278,278,SSD002,female,23,TRUE,TRUE,employed,TRUE,36,2019
279,279,SSD002,male,58,TRUE,FALSE,employed,TRUE,12,2019
280,280,SSD002,male,53,TRUE,TRUE,unemployed,FALSE,10,2019
281,281,SSD002,male,78,TRUE,TRUE,unemployed,TRUE,12,2019
282,282,SSD002,male,37,TRUE,TRUE,unemployed,TRUE,13,2019
283,283,SSD002,male,24,FALSE,FALSE,unemployed,FALSE,9,2019
284,284,SSD002,female,57,TRUE,TRUE,employed,FALSE,33,2019
285,285,SSD002,female,58,TRUE,TRUE,unemployed,FALSE,38,2019
286,286,SSD002,prefer not to say,63,TRUE,FALSE,unemployed,FALSE,13,2019
287,287,SSD002,male,79,TRUE,FALSE,employed,FALSE,11,2019
288,288,SSD002,male,47,TRUE,TRUE,employed,TRUE,8,2019
289,289,SSD002,female,25,TRUE,TRUE,employed,FALSE,40,2019
290,290,SSD002,male,34,FALSE,TRUE,unemployed,TRUE,9,2019
291,291,SSD002,female,77,TRUE,FALSE,unemployed,TRUE,35,2019
292,292,SSD002,female,45,FALSE,TRUE,employed,FALSE,32,2019
293,293,SSD002,female,29,FALSE,FALSE,employed,TRUE,32,2019
294,294,SSD002,female,41,TRUE,FALSE,employed,FALSE,32,2019
295,295,SSD002,male,51,FALSE,TRUE,unemployed,TRUE,11,2019
296,296,SSD002,male,52,FALSE,TRUE,employed,FALSE,11,2019
297,297,SSD002,female,19,TRUE,TRUE,employed,TRUE,35,2019
298,298,SSD002,female,49,TRUE,FALSE,unemployed,TRUE,32,2019
299,299,SSD002,female,70,FALSE,TRUE,employed,FALSE,37,2019
300,300,SSD002,male,51,FALSE,TRUE,employed,TRUE,11,2019
301,301,SSD002,male,19,TRUE,FALSE,unemployed,FALSE,12,2019
302,302,SSD002,male,63,TRUE,FALSE,unemployed,FALSE,9,2019
303,303,SSD002,male,33,FALSE,TRUE,employed,FALSE,9,2019
304,304,SSD002,male,19,FALSE,TRUE,employed,FALSE,9,2019
305,305,SSD002,female,66,TRUE,FALSE,employed,FALSE,32,2019
306,306,SSD002,female,59,TRUE,TRUE,employed,FALSE,31,2019
307,307,SSD002,male,48,FALSE,FALSE,employed,FALSE,9,2019
308,308,SSD002,male,17,FALSE,TRUE,below_minimum_legal_work_age,FALSE,9,2019
309,309,SSD002,female,79,TRUE,FALSE,unemployed,FALSE,39,2019
310,310,SSD002,male,53,FALSE,TRUE,employed,TRUE,8,2019
311,311,SSD002,female,78,TRUE,TRUE,employed,FALSE,35,2019
312,312,SSD002,female,22,TRUE,TRUE,unemployed,TRUE,40,2019
313,313,SSD002,female,43,TRUE,FALSE,employed,TRUE,32,2019
314,314,SSD002,male,30,TRUE,TRUE,employed,FALSE,12,2019
315,315,SSD002,male,44,TRUE,FALSE,employed,TRUE,10,2019
316,316,SSD002,female,41,TRUE,TRUE,employed,FALSE,37,2019
317,317,SSD002,male,56,FALSE,FALSE,employed,TRUE,9,2019
318,318,SSD002,male,74,TRUE,TRUE,employed,FALSE,10,2019
319,319,SSD002,male,70,TRUE,TRUE,employed,FALSE,12,2019
320,320,SSD002,male,71,FALSE,FALSE,employed,FALSE,9,2019
321,321,SSD002,female,80,TRUE,TRUE,employed,FALSE,35,2019
322,322,SSD002,female,60,TRUE,TRUE,employed,FALSE,30,2019
323,323,SSD002,male,44,TRUE,FALSE,employed,TRUE,13,2019
324,324,SSD002,female,42,FALSE,TRUE,employed,TRUE,38,2019
325,325,SSD002,male,68,TRUE,FALSE,employed,TRUE,13,2019
326,326,SSD002,female,80,TRUE,TRUE,employed,TRUE,39,2019
327,327,SSD002,female,41,TRUE,TRUE,employed,TRUE,30,2019
328,328,SSD002,female,36,FALSE,TRUE,employed,FALSE,32,2019
329,329,SSD002,female,77,TRUE,TRUE,employed,TRUE,36,2019
330,330,SSD002,male,71,FALSE,TRUE,employed,FALSE,13,2019
331,331,SSD002,male,61,TRUE,FALSE,employed,TRUE,10,2019
332,332,SSD002,female,44,FALSE,FALSE,employed,FALSE,34,2019
333,333,SSD002,female,35,FALSE,FALSE,employed,TRUE,36,2019
334,334,SSD002,male,43,FALSE,TRUE,unemployed,FALSE,13,2019
335,335,SSD002,female,66,FALSE,FALSE,unemployed,FALSE,30,2019
336,336,SSD002,male,79,FALSE,FALSE,unemployed,TRUE,12,2019
337,337,SSD002,male,76,TRUE,TRUE,unemployed,FALSE,12,2019
338,338,SSD002,female,19,TRUE,FALSE,unemployed,FALSE,40,2019
339,339,SSD002,male,54,TRUE,TRUE,employed,FALSE,13,2019
340,340,SSD002,female,56,TRUE,TRUE,unemployed,FALSE,34,2019
341,341,SSD002,male,35,FALSE,TRUE,employed,FALSE,11,2019
342,342,SSD002,female,29,TRUE,FALSE,unemployed,FALSE,38,2019
343,343,SSD002,prefer not to say,55,TRUE,TRUE,employed,FALSE,11,2019
344,344,SSD002,male,79,FALSE,TRUE,employed,TRUE,13,2019
345,345,SSD002,female,55,TRUE,FALSE,employed,TRUE,30,2019
346,346,SSD002,male,69,TRUE,TRUE,employed,FALSE,9,2019
347,347,SSD002,male,21,TRUE,TRUE,unemployed,TRUE,12,2019
348,348,SSD002,female,15,FALSE,TRUE,below_minimum_legal_work_age,FALSE,34,2019
349,349,SSD002,female,62,FALSE,TRUE,unemployed,TRUE,39,2019
350,350,SSD002,female,58,TRUE,TRUE,employed,FALSE,37,2019
351,351,SSD002,female,48,FALSE,TRUE,employed,FALSE,39,2019
352,352,SSD002,male,26,FALSE,FALSE,unemployed,TRUE,12,2019
353,353,SSD002,male,48,TRUE,TRUE,employed,FALSE,12,2019
354,354,SSD002,male,56,TRUE,TRUE,employed,FALSE,8,2019
355,355,SSD002,male,45,TRUE,TRUE,employed,FALSE,13,2019
356,356,SSD002,female,74,TRUE,TRUE,unemployed,FALSE,39,2019
357,357,SSD002,male,43,TRUE,FALSE,employed,FALSE,12,2019
358,358,SSD002,male,48,FALSE,FALSE,employed,FALSE,11,2019
359,359,SSD002,male,46,TRUE,TRUE,employed,TRUE,9,2019
360,360,SSD002,male,47,TRUE,FALSE,employed,FALSE,13,2019
361,361,SSD002,female,41,TRUE,TRUE,employed,TRUE,39,2019
362,362,SSD002,female,55,FALSE,FALSE,unemployed,FALSE,40,2019
363,363,SSD002,female,20,TRUE,TRUE,employed,TRUE,35,2019
364,364,SSD002,female,27,TRUE,TRUE,employed,TRUE,31,2019
365,365,SSD002,male,41,TRUE,FALSE,employed,FALSE,9,2019
366,366,SSD002,female,57,FALSE,FALSE,employed,TRUE,36,2019
367,367,SSD002,male,35,FALSE,TRUE,unemployed,FALSE,11,2019
368,368,SSD002,male,17,FALSE,TRUE,below_minimum_legal_work_age,FALSE,11,2019
369,369,SSD002,male,23,TRUE,TRUE,employed,FALSE,8,2019
370,370,SSD002,male,53,FALSE,TRUE,employed,FALSE,10,2019
371,371,SSD002,male,28,TRUE,TRUE,employed,FALSE,8,2019
