project_id,project_name,category,track_sdg_indicator,start_date,end_date,budget,region_id
262,Project_262,Infrastructure,SDG_1.1.1,2021-11-30,2022-06-30,2938227,LEB002
274,Project_274,Advertising Campaign,SDG_13.1.1,2021-03-04,2024-07-21,1913340,LEB003
275,Project_275,Education,SDG_1.1.1,2021-12-07,2022-09-10,2724468,LEB003
276,Project_276,Education,SDG_1.1.1,2021-07-05,2022-05-11,3094573,LEB003
277,Project_277,Advertising Campaign,SDG_5.4.1,2021-06-01,2023-06-17,2595694,LEB003
294,Project_294,Education,SDG_1.1.1,2021-07-23,2022-04-07,1598246,LEB004
295,Project_295,Advertising Campaign,SDG_1.1.1,2021-06-15,2022-03-10,1961301,LEB004
296,Project_296,Education,SDG_5.4.1,2021-01-21,2021-09-13,1462455,LEB004
6,Project_6,Financial Aid,SDG_1.1.1,2022-03-09,2023-01-02,1837893,SSD001
17,Project_17,Infrastructure,SDG_1.1.1,2022-11-12,2022-12-10,3404130,SSD002
32,Project_32,Advertising Campaign,SDG_1.1.1,2022-10-27,2024-04-19,2833874,SSD003
33,Project_33,Financial Aid,SDG_1.1.1,2022-11-20,2022-12-23,3395804,SSD003
34,Project_34,Infrastructure,SDG_13.1.1,2022-06-16,2023-09-06,2569935,SSD003
35,Project_35,Financial Aid,SDG_13.1.1,2022-09-21,2024-08-14,2208890,SSD003
53,Project_53,Advertising Campaign,SDG_5.4.1,2022-03-09,2024-08-19,3323113,SSD004
54,Project_54,Education,SDG_13.1.1,2022-11-25,2023-07-17,2167224,SSD004
55,Project_55,Advertising Campaign,SDG_13.1.1,2022-09-05,2022-10-07,1894581,SSD004
56,Project_56,Advertising Campaign,SDG_13.1.1,2022-04-03,2024-03-31,3083012,SSD004
68,Project_68,Advertising Campaign,SDG_5.4.1,2022-01-06,2024-01-05,3014290,RCB001
78,Project_78,Infrastructure,SDG_13.1.1,2022-10-01,2024-09-17,2852138,RCB002
79,Project_79,Infrastructure,SDG_5.4.1,2022-08-06,2024-10-15,1599720,RCB002
95,Project_95,Advertising Campaign,SDG_13.1.1,2022-10-06,2022-11-25,1430080,RCB003
96,Project_96,Financial Aid,SDG_5.4.1,2022-06-30,2022-08-22,3367139,RCB003
97,Project_97,Financial Aid,SDG_13.1.1,2022-08-09,2022-12-08,1404196,RCB003
98,Project_98,Advertising Campaign,SDG_13.1.1,2022-08-06,2023-10-14,1604458,RCB003
118,Project_118,Education,SDG_13.1.1,2022-08-02,2023-12-11,1718391,RCB004
119,Project_119,Financial Aid,SDG_5.4.1,2022-08-30,2022-10-20,1720273,RCB004
120,Project_120,Financial Aid,SDG_5.4.1,2022-04-05,2022-09-04,3280470,RCB004
132,Project_132,Financial Aid,SDG_5.4.1,2022-03-18,2023-09-08,2782614,PSE001
142,Project_142,Education,SDG_1.1.1,2022-05-22,2022-06-18,3397925,PSE002
157,Project_157,Advertising Campaign,SDG_1.1.1,2022-09-19,2022-10-23,1634288,PSE003
158,Project_158,Advertising Campaign,SDG_1.1.1,2022-12-12,2022-12-24,3197538,PSE003
159,Project_159,Education,SDG_1.1.1,2022-09-22,2024-01-03,1247193,PSE003
160,Project_160,Education,SDG_13.1.1,2022-12-29,2023-09-30,2249578,PSE003
180,Project_180,Infrastructure,SDG_13.1.1,2022-12-14,2024-09-14,1977490,PSE004
181,Project_181,Education,SDG_5.4.1,2022-01-02,2023-02-14,1249870,PSE004
182,Project_182,Advertising Campaign,SDG_5.4.1,2022-06-26,2022-10-13,1271537,PSE004
183,Project_183,Education,SDG_13.1.1,2022-05-30,2024-07-11,1588665,PSE004
195,Project_195,Advertising Campaign,SDG_13.1.1,2022-01-16,2023-09-13,2084256,YEM001
196,Project_196,Education,SDG_13.1.1,2022-06-18,2024-05-27,2663726,YEM001
204,Project_204,Advertising Campaign,SDG_5.4.1,2022-01-14,2023-09-29,1151258,YEM002
220,Project_220,Advertising Campaign,SDG_1.1.1,2022-05-25,2022-08-07,1275251,YEM003
221,Project_221,Education,SDG_1.1.1,2022-09-19,2023-08-04,2713680,YEM003
222,Project_222,Financial Aid,SDG_5.4.1,2022-01-14,2023-05-18,2438835,YEM003
242,Project_242,Advertising Campaign,SDG_13.1.1,2022-03-15,2023-01-21,2265266,YEM004
243,Project_243,Advertising Campaign,SDG_1.1.1,2022-01-31,2023-11-02,1842765,YEM004
244,Project_244,Education,SDG_13.1.1,2022-12-24,2022-12-27,2300837,YEM004
245,Project_245,Financial Aid,SDG_1.1.1,2022-05-01,2023-07-23,2514999,YEM004
256,Project_256,Education,SDG_1.1.1,2022-12-02,2024-02-09,2198840,LEB001
263,Project_263,Education,SDG_1.1.1,2022-12-24,2024-06-07,3192052,LEB002
278,Project_278,Advertising Campaign,SDG_13.1.1,2022-10-12,2022-10-30,2078898,LEB003
279,Project_279,Infrastructure,SDG_1.1.1,2022-03-10,2023-08-09,1480606,LEB003
280,Project_280,Advertising Campaign,SDG_1.1.1,2022-03-08,2022-06-21,2788413,LEB003
297,Project_297,Advertising Campaign,SDG_5.4.1,2022-03-21,2023-06-11,1497522,LEB004
298,Project_298,Infrastructure,SDG_1.1.1,2022-02-22,2023-05-01,1540243,LEB004
299,Project_299,Infrastructure,SDG_5.4.1,2022-05-18,2022-11-11,1157979,LEB004
7,Project_7,Advertising Campaign,SDG_5.4.1,2023-03-24,2023-04-12,1073442,SSD001
8,Project_8,Infrastructure,SDG_5.4.1,2023-10-24,2024-12-06,2574228,SSD001
18,Project_18,Financial Aid,SDG_13.1.1,2023-05-11,2023-09-13,1171349,SSD002
19,Project_19,Financial Aid,SDG_13.1.1,2023-09-30,2023-11-11,2533920,SSD002
36,Project_36,Advertising Campaign,SDG_13.1.1,2023-08-01,2023-11-02,2219918,SSD003
37,Project_37,Advertising Campaign,SDG_5.4.1,2023-08-18,2023-12-01,2711583,SSD003
38,Project_38,Advertising Campaign,SDG_1.1.1,2023-09-22,2023-12-19,1278630,SSD003
57,Project_57,Education,SDG_1.1.1,2023-01-12,2024-07-30,2762182,SSD004
58,Project_58,Education,SDG_13.1.1,2023-02-09,2023-09-10,2681365,SSD004
59,Project_59,Financial Aid,SDG_13.1.1,2023-04-16,2024-11-29,2125262,SSD004
69,Project_69,Infrastructure,SDG_1.1.1,2023-10-15,2023-10-29,1630354,RCB001
70,Project_70,Advertising Campaign,SDG_13.1.1,2023-03-01,2023-04-28,1104195,RCB001
80,Project_80,Education,SDG_13.1.1,2023-05-17,2023-11-16,1945913,RCB002
81,Project_81,Education,SDG_5.4.1,2023-08-21,2024-01-31,1994080,RCB002
99,Project_99,Infrastructure,SDG_13.1.1,2023-04-07,2024-08-30,2194631,RCB003
100,Project_100,Infrastructure,SDG_1.1.1,2023-09-30,2024-07-08,1977415,RCB003
101,Project_101,Advertising Campaign,SDG_5.4.1,2023-06-11,2023-12-18,1988970,RCB003
102,Project_102,Financial Aid,SDG_1.1.1,2023-11-11,2024-06-10,2593379,RCB003
121,Project_121,Financial Aid,SDG_5.4.1,2023-09-16,2024-04-08,2386530,RCB004
122,Project_122,Education,SDG_5.4.1,2023-11-20,2023-11-24,1296098,RCB004
123,Project_123,Advertising Campaign,SDG_1.1.1,2023-01-24,2023-10-12,3027314,RCB004
133,Project_133,Advertising Campaign,SDG_1.1.1,2023-12-29,2024-04-10,1253818,PSE001
143,Project_143,Education,SDG_5.4.1,2023-01-03,2024-06-07,2264487,PSE002
161,Project_161,Financial Aid,SDG_5.4.1,2023-07-23,2024-01-23,2182222,PSE003
162,Project_162,Education,SDG_13.1.1,2023-09-12,2024-12-15,3177542,PSE003
163,Project_163,Infrastructure,SDG_5.4.1,2023-05-20,2024-07-03,2031087,PSE003
164,Project_164,Financial Aid,SDG_13.1.1,2023-07-19,2023-09-24,2966296,PSE003
184,Project_184,Advertising Campaign,SDG_13.1.1,2023-10-16,2023-11-07,1865569,PSE004
185,Project_185,Financial Aid,SDG_5.4.1,2023-07-01,2023-12-12,3160669,PSE004
186,Project_186,Education,SDG_5.4.1,2023-01-18,2024-09-23,1439540,PSE004
187,Project_187,Financial Aid,SDG_5.4.1,2023-09-06,2023-12-28,2540019,PSE004
197,Project_197,Education,SDG_13.1.1,2023-11-07,2024-09-10,2232377,YEM001
205,Project_205,Infrastructure,SDG_1.1.1,2023-09-06,2024-04-06,2026934,YEM002
206,Project_206,Infrastructure,SDG_13.1.1,2023-07-23,2024-09-18,1537490,YEM002
223,Project_223,Advertising Campaign,SDG_5.4.1,2023-03-14,2023-09-12,1560362,YEM003
224,Project_224,Education,SDG_1.1.1,2023-02-19,2023-08-31,2898457,YEM003
225,Project_225,Education,SDG_5.4.1,2023-05-13,2023-08-24,3178117,YEM003
246,Project_246,Infrastructure,SDG_13.1.1,2023-04-26,2023-08-05,1070917,YEM004
247,Project_247,Financial Aid,SDG_13.1.1,2023-07-26,2023-07-31,1801471,YEM004
248,Project_248,Advertising Campaign,SDG_5.4.1,2023-02-03,2024-05-28,2788860,YEM004
257,Project_257,Financial Aid,SDG_1.1.1,2023-12-12,2024-06-12,2326107,LEB001
264,Project_264,Education,SDG_5.4.1,2023-02-17,2023-06-01,1723377,LEB002
265,Project_265,Financial Aid,SDG_5.4.1,2023-01-08,2024-11-26,2701201,LEB002
281,Project_281,Education,SDG_1.1.1,2023-06-27,2024-01-24,1283911,LEB003
282,Project_282,Advertising Campaign,SDG_13.1.1,2023-06-11,2024-05-23,2078152,LEB003
283,Project_283,Education,SDG_13.1.1,2023-05-26,2023-12-25,2342069,LEB003
284,Project_284,Education,SDG_5.4.1,2023-08-12,2023-09-10,1426353,LEB003
300,Project_300,Advertising Campaign,SDG_1.1.1,2023-12-12,2023-12-19,3111808,LEB004
301,Project_301,Financial Aid,SDG_1.1.1,2023-11-22,2024-03-15,1304071,LEB004
302,Project_302,Education,SDG_5.4.1,2023-12-09,2023-12-10,2460112,LEB004
9,Project_9,Advertising Campaign,SDG_13.1.1,2024-05-22,2024-12-06,2218287,SSD001
10,Project_10,Education,SDG_1.1.1,2024-07-25,2024-09-26,2024173,SSD001
20,Project_20,Education,SDG_13.1.1,2024-06-30,2024-11-19,2717737,SSD002
21,Project_21,Education,SDG_5.4.1,2024-06-22,2024-11-04,2487464,SSD002
39,Project_39,Financial Aid,SDG_13.1.1,2024-09-19,2024-11-28,1303778,SSD003
40,Project_40,Advertising Campaign,SDG_5.4.1,2024-08-07,2024-12-30,2145188,SSD003
41,Project_41,Infrastructure,SDG_13.1.1,2024-03-16,2024-09-24,2979040,SSD003
42,Project_42,Financial Aid,SDG_1.1.1,2024-06-12,2024-07-07,2136997,SSD003
60,Project_60,Infrastructure,SDG_13.1.1,2024-03-15,2024-04-30,1908032,SSD004
61,Project_61,Education,SDG_1.1.1,2024-09-14,2024-12-17,1849869,SSD004
62,Project_62,Advertising Campaign,SDG_1.1.1,2024-03-08,2024-08-28,2245709,SSD004
63,Project_63,Infrastructure,SDG_5.4.1,2024-05-25,2024-11-18,1877742,SSD004
71,Project_71,Infrastructure,SDG_5.4.1,2024-12-03,2024-12-17,1477068,RCB001
72,Project_72,Infrastructure,SDG_13.1.1,2024-05-02,2024-09-12,2542671,RCB001
82,Project_82,Education,SDG_1.1.1,2024-03-05,2024-04-08,1304691,RCB002
83,Project_83,Financial Aid,SDG_1.1.1,2024-12-25,2024-12-28,1567162,RCB002
103,Project_103,Education,SDG_5.4.1,2024-02-03,2024-11-08,2642018,RCB003
104,Project_104,Advertising Campaign,SDG_13.1.1,2024-12-09,2024-12-15,1885414,RCB003
105,Project_105,Infrastructure,SDG_5.4.1,2024-08-05,2024-12-19,1725570,RCB003
106,Project_106,Advertising Campaign,SDG_5.4.1,2024-08-13,2024-09-03,2221034,RCB003
124,Project_124,Education,SDG_1.1.1,2024-02-08,2024-02-12,2407775,RCB004
125,Project_125,Education,SDG_13.1.1,2024-10-04,2024-12-29,3039746,RCB004
126,Project_126,Education,SDG_1.1.1,2024-07-12,2024-11-19,2191616,RCB004
127,Project_127,Advertising Campaign,SDG_13.1.1,2024-07-06,2024-07-14,1506558,RCB004
134,Project_134,Advertising Campaign,SDG_13.1.1,2024-12-23,2024-12-27,2188516,PSE001
135,Project_135,Education,SDG_13.1.1,2024-12-13,2024-12-22,2055059,PSE001
144,Project_144,Infrastructure,SDG_5.4.1,2024-03-21,2024-03-22,2297464,PSE002
145,Project_145,Education,SDG_1.1.1,2024-05-04,2024-09-18,3061804,PSE002
165,Project_165,Education,SDG_5.4.1,2024-09-16,2024-11-27,2796391,PSE003
166,Project_166,Education,SDG_5.4.1,2024-09-05,2024-10-08,2767015,PSE003
167,Project_167,Infrastructure,SDG_1.1.1,2024-08-25,2024-09-16,3120357,PSE003
188,Project_188,Advertising Campaign,SDG_5.4.1,2024-12-15,2024-12-15,1125296,PSE004
189,Project_189,Education,SDG_5.4.1,2024-04-02,2024-12-01,1727852,PSE004
190,Project_190,Education,SDG_5.4.1,2024-03-26,2024-11-18,3080313,PSE004
191,Project_191,Financial Aid,SDG_13.1.1,2024-10-03,2024-11-07,1964268,PSE004
198,Project_198,Advertising Campaign,SDG_1.1.1,2024-04-04,2024-05-15,1786384,YEM001
207,Project_207,Education,SDG_13.1.1,2024-11-24,2024-12-09,2583638,YEM002
208,Project_208,Education,SDG_5.4.1,2024-09-11,2024-10-08,1129563,YEM002
226,Project_226,Financial Aid,SDG_13.1.1,2024-07-23,2024-12-15,2818506,YEM003
227,Project_227,Education,SDG_1.1.1,2024-03-19,2024-08-09,1780248,YEM003
228,Project_228,Financial Aid,SDG_1.1.1,2024-01-19,2024-07-12,1081415,YEM003
229,Project_229,Financial Aid,SDG_5.4.1,2024-01-24,2024-09-19,1963155,YEM003
249,Project_249,Infrastructure,SDG_5.4.1,2024-07-01,2024-10-17,2687846,YEM004
250,Project_250,Education,SDG_13.1.1,2024-10-31,2024-11-23,1541759,YEM004
251,Project_251,Financial Aid,SDG_5.4.1,2024-07-01,2024-08-08,1284307,YEM004
258,Project_258,Education,SDG_5.4.1,2024-12-31,2024-12-31,2214260,LEB001
266,Project_266,Financial Aid,SDG_1.1.1,2024-08-19,2024-11-28,1712341,LEB002
285,Project_285,Advertising Campaign,SDG_1.1.1,2024-01-07,2024-05-08,1846623,LEB003
286,Project_286,Advertising Campaign,SDG_13.1.1,2024-09-01,2024-11-03,2265827,LEB003
287,Project_287,Financial Aid,SDG_13.1.1,2024-04-22,2024-06-18,1139524,LEB003
